M_h_hinv_Msun,M_Msun,R_Mpc,sigma,dlnsigma_dlnM
429448798878.92725,780815997961.6858,1.9279301939886282,2.0332201530042893,-0.13052934308364428
526646239348.4281,957538616997.142,2.0636078439983,1.9793875254711821,-0.13253226480035596
645842443019.6991,1174258987308.5437,2.2088337778460203,1.9261835751600564,-0.13458331515802713
792016405019.254,1440029827307.7344,2.3642799538406556,1.8736161497401425,-0.13668384151662671
971274019847.1168,1765952763358.394,2.5306656192046204,1.8216931375949925,-0.13883522368440904
1191103133283.008,2165642060514.5598,2.7087606380204208,1.7704224605166068,-0.14103887012277916
1460686320364.9858,2655793309754.5195,2.8993890533807076,1.7198120683414264,-0.14329623492356292
1791284454622.0022,3256880826585.4585,3.1034329002238374,1.669869918050987,-0.14560880692346156
2196707090793.235,3994012892351.3364,3.3218362864968336,1.6206039750100802,-0.1479780823466743
2693889309590.164,4897980562891.207,3.5556097615292988,1.5720222086045752,-0.1504055879502697
3303599120128.346,6006543854778.811,3.8058349918306615,1.5241325739667513,-0.15289287951567176
4051304969235.378,7366009034973.414,4.0736697659455166,1.4769430058531094,-0.15544155274428062
4968239594734.388,9033162899517.068,4.360353351524652,1.430461391867174,-0.1580532464455544
6092704661368.687,11077644838852.156,4.667212229398603,1.384695562556539,-0.16072959202411174
7471670675868.066,13584855774305.574,4.9956662311854165,1.3396532916631183,-0.16347222977160503
9162739011886.73,16659525476157.69,5.347235108831154,1.295342271274279,-0.16628281537554523
11236548001387.516,20430087275250.027,5.7235455664802775,1.2517701032344064,-0.16916302005204514
13779723598335.54,25054042906064.613,6.126338787212358,1.2089442708655964,-0.1721145574338927
16898497868124.621,30724541578408.4,6.557478489471203,1.1668721131682123,-0.17513912674712312
20723146452190.297,37678448094891.445,7.018959550463215,1.1255608218071682,-0.17823841544344754
25413430367026.39,46206237030957.07,7.5129172364256815,1.0850174084113584,-0.18141412694479184
31165269449294.367,56664126271444.3,8.041637082472871,1.045248682818454,-0.1846679665899083
38218926206331.15,69488956738783.9,8.607565467734192,1.0062612236793966,-0.18800167736325654
46869041923141.92,85216439860258.03,9.213320934715309,0.9680613384011039,-0.1914169719203694
57476944248353.586,104503534997006.52,9.861706305256615,0.9306550588659268,-0.19491547174624624
70485740364518.89,128155891571852.52,10.555721649149636,0.894048118704542,-0.19849874048658642
86438826205982.61,157161502192695.66,11.298578165416888,0.8582459257873677,-0.20216826546590455
106002584880688.25,192731972510342.25,12.093713040483529,0.8232535385713211,-0.20592552459769264
129994222441324.22,236353131711498.56,12.944805351989581,0.7890756095965213,-0.20977199882703162
159415903745600.28,289847097719273.2,13.85579309182938,0.7557163555314387,-0.21370909283632444
195496614309125.94,355448389652956.25,14.830891387183279,0.723179525581776,-0.21773817741135393
239743496780107.84,435897266872923.3,15.874612003850782,0.6914683543738276,-0.22186051578397126
294004806433471.4,534554193515402.44,16.991784222125872,0.6605855486915175,-0.2260772360847325
360547115425049.9,655540209863727.0,18.18757718180759,0.6305332434754205,-0.23038940131362473
442149990737448.7,803909074068088.5,19.46752379973568,0.6013129639977287,-0.23479796151046073
542222100650159.2,985858364818471.1,20.837546370517135,0.572925593619952,-0.2393038832330725
664943599666503.2,1208988363030005.8,22.30398396889833,0.5453713055456677,-0.2439080821682218
815440739518518.6,1482619526397306.5,23.873621780572872,0.5186495510587332,-0.24861118874652766
1000000000000000.0,1818181818181818.0,25.55372249713797,0.49275904514698676,-0.2533638696003102
