k_Mpc^-1,P_Mpc^3,Delta2
0.0001,7750.923426441707,3.9266636794409916e-10
0.00010121741408244667,7841.67926783355,4.119505123178847e-10
0.00010244964913537472,7933.490833979084,4.321813377207808e-10
0.00010369688559136586,8026.370157859953,4.5340528987266635e-10
0.00010495930607961376,8120.329404686212,4.756710913623664e-10
0.00010623709545266527,8215.380873265778,4.990298531519026e-10
0.00010753044081348831,8311.536997387151,5.235351915347903e-10
0.0001088395315428687,8408.810347214698,5.492433508147065e-10
0.00011016455932714056,8507.213630697239,5.762133319839505e-10
0.00011150571818625436,8606.759694989842,6.04507027694693e-10
0.00011286320450218712,8707.461527888676,6.341893638302925e-10
0.00011423721704769732,8809.332259279501,6.653284479989502e-10
0.00011562795701543115,8912.385162471668,6.979957252776863e-10
0.00011703562804738238,9016.633628513599,7.322661393735025e-10
0.00011846043626471099,9122.091132167938,7.682183005780413e-10
0.00011990259029792533,9228.771283607331,8.059346688744028e-10
0.0001213623013174306,9336.687837827852,8.455017428604921e-10
0.00012283978306445035,9445.854696044355,8.870102572603799e-10
0.0001243352518823239,9556.285907096957,9.305553900780241e-10
0.00012584892674818486,9667.995668868434,9.762369798630916e-10
0.0001273810293050251,9780.99832971292,1.0241597535814814e-09
0.00012893178389415,9895.308389895912,1.074433565607083e-09
0.00013050141758802708,10010.940503045262,1.1271736483762884e-09
0.00013209016022353622,10127.90947761376,1.1825008752733036e-09
0.00013369824443562392,10246.23027835301,1.2405420363416896e-09
0.00013532590569136703,10365.91802779841,1.3014301274465337e-09
0.00013697338232445224,10486.988007766273,1.3653046535421535e-09
0.00013864091557007363,10609.455660861693,1.432311946731647e-09
0.00014032874960025668,10733.336591998306,1.5026054998383648e-09
0.00014203713155961153,10858.646569929844,1.5763463162440607e-09
0.0001437663116015214,10985.401528792809,1.6537032767850814e-09
0.00014551654292477246,11113.617569518929,1.7348535245144174e-09
0.00014728808181062818,11243.310916357195,1.8199828609484524e-09
0.00014908118766035632,11374.497851078435,1.90928615661832e-09
0.00015089612303321225,11507.194803253939,2.002967806754346e-09
0.00015273315368488462,11641.418367416083,2.101242198430271e-09
0.00015459254860640913,11777.18530443451,2.2043341979433114e-09
0.00015647458006355676,11914.512542899653,2.312479661904136e-09
0.00015837952363669978,12053.417180511808,2.42592597318608e-09
0.00016030765826116492,12193.91648547779,2.5449326029394477e-09
0.0001622592662680768,12336.02789791338,2.6697716999339803e-09
0.000164234633425699,12479.769031252941,2.8007287085543984e-09
0.00016623404898127796,12625.157673664758,2.9381030168372003e-09
0.0001682578057033973,12772.211789473178,3.0822086360045646e-09
0.00017030619992484621,12920.94952058691,3.233374913020912e-09
0.00017237953158601106,13071.389187933437,3.3919472777717052e-09
0.00017447810427879474,13223.549292899663,3.5582880265410204e-09
0.0001766022252910706,13377.448518778487,3.7327771435453305e-09
0.00017875220565167826,13533.10573222154,3.915813162365862e-09
0.0001809283601759658,13690.539984697776,4.107814069210385e-09
0.00018313100751188785,13849.770513821375,4.3092182499863085e-09
0.00018536047018666402,14010.81667518652,4.520485460916407e-09
0.00018761707465400564,14173.697825294514,4.742097826004543e-09
0.00018990115134191797,14338.433469092772,4.974560967574824e-09
0.00019221303470108283,14505.043290028501,5.218405157440897e-09
0.0001945530632538319,14673.547151154418,5.474186514699868e-09
0.0001969215796437154,14843.965096231203,5.742488261500629e-09
0.0001993189306856742,15016.317350827072,6.023922039579716e-09
0.00020174546741682373,15190.624323413515,6.31912929049121e-09
0.00020420154514785396,15366.906606457855,6.6287827025975535e-09
0.00020668752351505763,15545.184977511692,6.953587728035136e-09
0.0002092037665329902,15725.480400294959,7.294284173021781e-09
0.00021175064264777167,15907.814025776013,7.651647865035286e-09
0.00021432852479103673,16092.207193246588,8.026492400559973e-09
0.000216937790434543,16278.681431392302,8.419670977276223e-09
0.00021957882164544174,16467.25845935755,8.832078314751667e-09
