M_h_inv_Msun,hmf_press_schechter_z0,hmf_sheth_tormen_z0,cumulative_press_schechter_z0,cumulative_sheth_tormen_z0
100000000.0,17.789599442469036,14.983881563768081,20.392659499641553,16.63397996365889
122633068.41775644,14.873445438253702,12.455781522797746,17.06059569179957,13.834770379739034
150388694.6955407,12.435769512095384,10.354342247603618,14.274693547987553,11.507835210488905
184426270.8585533,10.398972202055807,8.60836094748073,11.945247021952005,9.57338797062117
226167594.92228645,8.696969003046224,7.157615719847181,9.997207737844942,7.965049236730204
277356261.41984177,7.274496367509765,5.952022490858243,8.36790643070197,6.6276922580618
340130493.8279246,6.085547187101721,4.950097817262305,7.005004785675429,5.5155313851216805
417112461.20565164,5.0916421223336545,4.117337561884928,5.864783226192195,4.590532709488889
511517809.92931455,4.26066221537387,3.4250961612589443,4.910724138394459,3.8211044298012524
627289985.8196256,3.5658055695915905,2.8495986588098736,4.112320617082944,3.1810023330262935
769264957.487913,2.9846912813071964,2.3711002053336707,3.4440830550317685,2.648421803550891
943373221.6299773,2.4986289660180336,1.9732023235111025,2.88471166116326,2.2052453244583585
1156887528.3162832,2.0920103395523606,1.6422861493601473,2.416405563528877,1.8364175457831944
1418726674.116599,1.7517995493518352,1.3670403644631899,2.0242859720512927,1.529426326828952
1739828052.9303622,1.4671074555840786,1.138069008321478,1.6959147632089138,1.2738719440020232
2133604526.501411,1.2288376223016124,0.9475668977551119,1.4208926072906114,1.0611094185133172
2616504698.7488236,1.029390231087561,0.7890496599155852,1.1905234139831076,0.8839514958198063
3208699997.370444,0.8624142846036206,0.6571291029526426,0.9975342612183938,0.7364220804508554
3934927263.095845,0.7226020491610378,0.5473277079976082,0.8358415721301027,0.613551510284119
4825522042.741279,0.6055171373503231,0.4559243468390663,0.7003557994461569,0.5112064939431173
5917685748.18883,0.5074506748162877,0.37982594733145864,0.586818320630086,0.4259488788687056
7257039612.324202,0.42530160672375267,0.31646122687098477,0.4916652162471005,0.35491835181598247
8899530352.885223,0.3564766896803663,0.2636923948715122,0.4119134608085876,0.2957349874647444
10913767146.51274,0.2988069601350748,0.21974180994182418,0.3450658370982437,0.24641828648926134
13383887531.73759,0.2504780487247482,0.18313112143395976,0.28903148069039486,0.20531990393801547
16413071953.751266,0.20997192687992167,0.15263068302616747,0.24205947594813235,0.1710677464682263
20127853758.499386,0.1760183108763866,0.12721757945689513,0.20268335207159874,0.14251951189571688
24683404670.686512,0.14755406834228357,0.1060407593286727,0.16967467765226532,0.11872406749110029
30270016537.634556,0.12368925713866753,0.08839203445789455,0.14200426078653122,0.09888934364341077
37121050090.663574,0.1036787944896942,0.07368201732354213,0.11880970379844288,0.08235564067409708
45522682755.0731,0.08689878129901826,0.06142012554679248,0.09936826332065665,0.06857343015869526
55825862688.62701,0.07282670435725208,0.0511979573753266,0.08307414524658337,0.05708489197789589
68460968385.74672,0.06102488352820465,0.04267547164232086,0.06941950792651728,0.04750855711720039
83955786199.95103,0.05112663385484285,0.0355695004307404,0.05797856561904866,0.03952653215466786
102957556731.25127,0.04282470046755691,0.029644202871479557,0.048394283383962414,0.03287386944847536
126260010987.48578,0.03586158863532848,0.024703128929992865,0.040367238230929095,0.027329720762712693
154836525658.5496,0.03002147103459927,0.020582616566017717,0.03364629229714637,0.022709974069487125
189880782446.52612,0.02512341601043671,0.017146299009018092,0.028020782398075504,0.018861124259073405
232856629849.81964,0.021015718596675666,0.014280533740502466,0.023313978696494,0.015655170485254156
285559230199.01117,0.017571160786900943,0.011890602665952954,0.019377605197908692,0.01298536744795336
350190046143.172,0.014683045022738737,0.009897550763155454,0.016087248398000614,0.01076268680853481
429448798878.92725,0.012261871090853728,0.008235553473399148,0.013338509567456795,0.008912869665917221
526646239348.4281,0.010232554896276355,0.006849726304412088,0.011043779759393727,0.007373971043257548
645842443019.6991,0.008532096223496682,0.005694299330176578,0.009129536458093923,0.006094314049419721
792016405019.254,0.00710762718560076,0.004731098604825122,0.007534077231116961,0.005030785181599103
971274019847.1168,0.005914778732301101,0.003928282531690614,0.006205619103329951,0.004147413450988567
1191103133283.008,0.004916310132979425,0.0032592882327693307,0.0051007043796930905,0.0034141858998518646
1460686320364.9858,0.004080961088407145,0.0027019543394429155,0.0041828633787822,0.0028060600898678137
1791284454622.0022,0.0033824883847194437,0.0022377893915275734,0.0034214925402129043,0.0023021407104563962
2196707090793.235,0.0027988582977231096,0.0018513622538088733,0.002790913191609458,0.00188499300570445
2693889309590.164,0.0023115706757053816,0.001529794926635582,0.0022695816535642194,0.0015400701269365563
3303599120128.346,0.0019050912152067973,0.001262339227924541,0.0018394262125169137,0.0012552354093827052
4051304969235.378,0.001566375382521191,0.001040023983901843,0.0014852905753568787,0.0010203638241202712
4968239594734.388,0.0012844688101931417,0.000855360737701805,0.001194466655204034,0.0008270094428660109
6092704661368.687,0.0010501716429286913,0.0007020981057294791,0.0009563023632166013,0.0006681279833036291
7471670675868.066,0.0008557575624523511,0.0005750173766889317,0.0007618723047590947,0.0005378452649305952
9162739011886.73,0.0006947376847689429,0.00046976184146909304,0.0006037012243725788,0.0004312639271305649
11236548001387.516,0.0005616622569563262,0.0003826943443627264,0.00047553176591317176,0.0003443020895262083
13779723598335.54,0.000451954197034759,0.00031077845327517195,0.0003721294433890375,0.00027355866621187226
16898497868124.621,0.0003617690450010078,0.0002514791106611227,0.0002891188797906778,0.00021620093712326272
20723146452190.297,0.00028787760787317906,0.00020267988376471087,0.00022284630453529261,0.00016987069590238614
25413430367026.39,0.0002275673730114204,0.00016261387339665845,0.00017026407982197395,0.00013260588755665902
31165269449294.367,0.00017855960839364724,0.0001298059570049148,0.00012883374100727802,0.000102775186312041
38218926206331.15,0.0001389398077807695,0.00010302460014598515,9.644458936789462e-05,7.90233813080913e-05
46869041923141.92,0.00010709920802519383,8.124154308995939e-05,7.13453463892354e-05,6.022579066309042e-05
57476944248353.586,8.168580586543599e-05,6.359818495627956e-05,5.2086771000901736e-05,4.5450217304178355e-05
70485740364518.89,6.156335081135655e-05,4.937754842722394e-05,3.747345701839785e-05,3.392519403258062e-05
86438826205982.61,4.5776972636365054e-05,3.7980835377971454e-05,2.652332030614968e-05,2.501348019659777e-05
106002584880688.25,3.352448576399088e-05,2.890787445210984e-05,1.8433519725406467e-05,1.8189944607924064e-05
