k_Mpc^-1,P_Mpc^3,Delta2
0.0001,1963.3474903713568,9.946434581281963e-11
0.00010121741408244667,1936.1486620440692,1.0171258043214978e-10
0.00010244964913537472,1909.8638218275,1.0404089683279364e-10
0.00010369688559136586,1884.4674095186501,1.0645254022226774e-10
0.00010495930607961376,1859.9348925210177,1.089509077892642e-10
0.00010623709545266527,1836.2427288967128,1.1153955653285639e-10
0.00010753044081348831,1813.3683321023345,1.1422221153184597e-10
0.0001088395315428687,1791.2900373390594,1.170027746808434e-10
0.00011016455932714056,1769.9870694507179,1.1988533392138614e-10
0.00011150571818625436,1749.4395123070515,1.2287417299823163e-10
0.00011286320450218712,1729.6282796124883,1.2597378177291801e-10
0.00011423721704769732,1710.5350870839027,1.29188867128774e-10
0.00011562795701543115,1692.1424259436183,1.3252436450380062e-10
0.00011703562804738238,1674.4335376768397,1.3598545009023115e-10
0.00011846043626471099,1657.3923900052107,1.3957755374213037e-10
0.00011990259029792533,1641.0036528945468,1.433063725359004e-10
0.0001213623013174306,1625.2516196538513,1.471777894765582e-10
0.00012283978306445035,1610.1182888960163,1.511976929151136e-10
0.0001243352518823239,1595.585917655632,1.5537219066503327e-10
0.00012584892674818486,1581.63753302399,1.5970766861733304e-10
0.0001273810293050251,1568.2568986001374,1.6421080391595534e-10
0.00012893178389415,1555.4284826251667,1.6888857878752295e-10
0.00013050141758802708,1543.137427708895,1.737482950585439e-10
0.00013209016022353622,1531.3695220633235,1.787975893948644e-10
0.00013369824443562392,1520.1111721621933,1.8404444929993897e-10
0.00013532590569136703,1509.3493767505784,1.8949722991037838e-10
0.00013697338232445224,1499.0717021327828,1.951646716292174e-10
0.00013864091557007363,1489.2662586709782,2.0105591863942404e-10
0.00014032874960025668,1479.921678430672,2.071805383423592e-10
0.00014203713155961153,1471.0270939128686,2.1354854176819734e-10
0.0001437663116015214,1462.572117816036,2.2017040500773238e-10
0.00014551654292477246,1454.5468237742457,2.27057091717547e-10
0.00014728808181062818,1446.9417280207679,2.3422007675316983e-10
0.00014908118766035632,1439.7477719292701,2.4167137098768706e-10
0.00015089612303321225,1432.95630531202,2.494235473630827e-10
0.00015273315368488462,1426.558914288657,2.574897400509393e-10
0.00015459254860640913,1420.5470815021927,2.65883607211715e-10
0.00015647458006355676,1414.9125694264421,2.74619421347713e-10
0.00015837952363669978,1409.6474996680765,2.8371211510132074e-10
0.00016030765826116492,1404.7443380695336,2.9317731255625147e-10
0.0001622592662680768,1400.195880487974,3.0303136204184865e-10
0.000164234633425699,1395.9952392140551,3.1329137051180933e-10
0.00016623404898127796,1392.1358299962776,3.239752395719532e-10
0.0001682578057033973,1388.6113596384555,3.3510170323508444e-10
0.00017030619992484621,1385.4158141396392,3.4669036748454656e-10
0.00017237953158601106,1382.54344734745,3.5876175173181387e-10
0.00017447810427879474,1379.9887700972768,3.713373322572956e-10
0.0001766022252910706,1377.7465398112697,3.8443958772758354e-10
0.00017875220565167826,1375.8117505324306,3.980920468865747e-10
0.0001809283601759658,1374.1796233703333,4.1231933852224136e-10
0.00018313100751188785,1372.845597336268,4.271472438154147e-10
0.00018536047018666402,1371.8053205466922,4.426027511816358e-10
0.00018761707465400564,1371.0546417749606,4.5871411372207527e-10
0.00018990115134191797,1370.5896023224266,4.755109094012095e-10
0.00019221303470108283,1370.4063625470646,4.930240804604569e-10
0.0001945530632538319,1370.5010379464106,5.112859367285418e-10
0.0001969215796437154,1370.8698667129547,5.303302767562274e-10
0.0001993189306856742,1371.5092490011853,5.501924739284107e-10
0.00020174546741682373,1372.4157395556035,5.709095501223061e-10
0.00020420154514785396,1373.5860405867309,5.925202527452319e-10
0.00020668752351505763,1375.0169948805703,6.150651352990048e-10
0.0002092037665329902,1376.7055791276266,6.385866416235573e-10
0.00021175064264777167,1378.6488974583633,6.631291939783622e-10
0.00021432852479103673,1380.8441751725043,6.887392851262163e-10
0.000216937790434543,1383.2887526503246,7.154655745902401e-10
0.00021957882164544174,1385.9800794345545,7.433589892612456e-10
0.0002222520051422238,1388.9157084721212,7.72472828539273e-10
0.0002249577323513453,1392.093290505471,8.028628741997615e-10
0.00022769639946454325,1395.510568603689,8.345875051817329e-10
0.0002304684074968484,1399.1653728241513,8.67707817502441e-10
0.00023327416234530558,1403.0556149958295,9.022877495101339e-10
