M_h_hinv_Msun,M_Msun,R_Mpc,sigma,dlnsigma_dlnM
100000000.0,181818181.8181818,0.13724929206617648,3.615183254539883,-0.07389391393143496
122633068.41775644,222969215.3050117,0.14690817985739066,3.5607929782207104,-0.07470715868290956
150388694.6955407,273433990.35552853,0.15724680968558563,3.5066391191485486,-0.07552611564991096
184426270.8585533,335320492.4700969,0.16831301824240033,3.452727866537647,-0.07635700707297444
226167594.92228645,411213808.9496117,0.18015800871579432,3.3990648609328873,-0.07720086206917376
277356261.41984177,504284111.6724395,0.19283658770646347,3.3456552272875992,-0.07805839288915628
340130493.8279246,618419079.6871356,0.20640741881719338,3.292504058370263,-0.07893008296538939
417112461.20565164,758386293.1011847,0.22093329408850734,3.2396162957466985,-0.07981655112801356
511517809.92931455,930032381.6896627,0.23648142453653395,3.1869966993089163,-0.08071843328500528
627289985.8196256,1140527246.9447737,0.25312375113741387,3.1346498971540733,-0.08163633315869046
769264957.487913,1398663559.0689325,0.27093727769716186,3.082580419174025,-0.0825708413093702
943373221.6299773,1715224039.3272314,0.29000442714717234,3.0307927176616287,-0.08352253747056082
1156887528.3162832,2103431869.6659694,0.3104134229139358,2.9792911947974665,-0.08449199639766114
1418726674.116599,2579503043.848362,0.3322586971275673,2.9280802136250075,-0.08547982727468906
1739828052.9303622,3163323732.6006584,0.355641327557914,2.877164076960852,-0.08648662462647572
2133604526.501411,3879280957.2752924,0.3806695052999461,2.8265470972483455,-0.08751298254510376
2616504698.7488236,4757281270.452406,0.4074590353723952,2.7762335575930575,-0.0885595137200954
3208699997.370444,5833999995.218988,0.4361338725459134,2.7262277569742412,-0.08962682954003887
3934927263.095845,7154413205.628809,0.4668266948800172,2.676533995188806,-0.09071556334361741
4825522042.741279,8773676441.347778,0.4996795176225591,2.6271565902918996,-0.09182635186173016
5917685748.18883,10759428633.0706,0.5348443503122405,2.578099884628415,-0.09295984575512284
