k_Mpc^-1,P_Mpc^3,Delta2
0.0001,6766.282533569451,3.427838775798665e-10
0.00010121741408244667,6845.756266738343,3.596312352195135e-10
0.00010244964913537472,6926.163462888195,3.773066173900753e-10
0.00010369688559136586,7007.515086058338,3.9585072036205497e-10
0.00010495930607961376,7089.8222290668355,4.1530624057186324e-10
0.00010623709545266527,7173.096115023011,4.357179729272196e-10
0.00010753044081348831,7257.348098857837,4.5713291394414816e-10
0.0001088395315428687,7342.589668872226,4.796003699530053e-10
0.00011016455932714056,7428.832448303545,5.031720706226868e-10
0.00011150571818625436,7516.088196910511,5.279022880643934e-10
0.00011286320450218712,7604.368812576736,5.538479617891931e-10
0.00011423721704769732,7693.686332933035,5.810688298070539e-10
0.00011562795701543115,7784.052936998874,6.096275661692383e-10
0.00011703562804738238,8006.948638815854,6.502667857509659e-10
0.00011846043626471099,8290.983565299946,6.982264496563391e-10
0.00011990259029792533,8584.535023086428,7.496744884729173e-10
0.0001213623013174306,8887.56314432387,8.048303915510063e-10
0.00012283978306445035,9199.989059508896,8.639223156677433e-10
0.0001243352518823239,9521.69137255297,9.27186703655275e-10
0.00012584892674818486,9852.502581240142,9.948677775037676e-10
0.0001273810293050251,10192.205470363426,1.0672168924995216e-09
0.00012893178389415,10540.52950873022,1.1444917386319896e-09
0.00013050141758802708,10897.147285230632,1.2269553753366905e-09
0.00013209016022353622,11261.671023210933,1.3148750856652141e-09
0.00013369824443562392,11633.649216432144,1.408521036222256e-09
0.00013532590569136703,12012.56343384851,1.5081647297179522e-09
0.00013697338232445224,12397.82534424099,1.614077237788363e-09
0.00013864091557007363,12788.77401528896,1.726527202872715e-09
0.00014032874960025668,13184.673544881132,1.8457785994414014e-09
0.00014203713155961153,13584.71108523457,1.9720882467756498e-09
0.0001437663116015214,13987.995322611836,2.105703067842216e-09
0.00014551654292477246,14393.555476983498,2.2468570916121166e-09
0.00014728808181062818,14800.394265257919,2.3957768399752232e-09
0.00014908118766035632,15208.03821254953,2.552771753857269e-09
0.00015089612303321225,15616.382172172096,2.718222058775636e-09
0.00015273315368488462,16025.35835403463,2.892530631208531e-09
0.00015459254860640913,16434.932425191786,3.0761241034474133e-09
0.00015647458006355676,16845.104585147004,3.2694549286462262e-09
0.00015837952363669978,17255.910556420764,3.473003629002368e-09
0.00016030765826116492,17667.42250022747,3.687281242600138e-09
0.0001622592662680768,18079.749868257655,3.912831986082326e-09
0.000164234633425699,18493.040202641478,4.150236152150056e-09
0.00016623404898127796,18907.479897167286,4.4001132629443495e-09
0.0001682578057033973,19323.29493376808,4.663125502664395e-09
0.00017030619992484621,19740.7516091591,4.9399814553515035e-09
0.00017237953158601106,20160.1572673388,5.231440176651217e-09
0.00017447810427879474,20581.861054452344,5.538315631591634e-09
0.0001766022252910706,21006.25471328422,5.861481534028626e-09
0.00017875220565167826,21433.773435402705,6.201876627453198e-09
0.0001809283601759658,21864.896789743063,6.560510451386865e-09
0.00018313100751188785,22300.149747208703,6.93846964267026e-09
0.00018536047018666402,22740.0727975165,7.336914816922014e-09
0.00018761707465400564,23184.869613913834,7.756967952013967e-09
