M_h_inv_Msun,hmf_press_schechter_z0,hmf_sheth_tormen_z0,cumulative_press_schechter_z0,cumulative_sheth_tormen_z0
100000000.0,18.078673051262744,17.41226529445226,20.86478207334673,19.38935900699677
122633068.41775644,15.045545321435858,14.402027664996876,17.485672452496186,16.143879152642274
150388694.6955407,12.602429568782323,11.988757938613698,14.665212301636549,13.451668983889606
184426270.8585533,10.558183510098953,9.981381662795258,12.302522574166652,11.21042334110216
226167594.92228645,8.847470532751483,8.311499225086859,10.322888472697823,9.344306860833324
277356261.41984177,7.415537824089042,6.922118251004932,8.663845914040294,7.7902758254551125
340130493.8279246,6.216792752245313,5.766020254008889,7.273167381288163,6.4959174073765285
417112461.20565164,5.212998561604939,4.803835689473424,6.107177066939213,5.417651906655637
511517809.92931455,4.37230121886942,4.002937321306116,5.129349353617724,4.519244249921315
627289985.8196256,3.668055800105286,3.3361863459533474,4.3091262934931,3.770556292559911
769264957.487913,3.0779789685876815,2.7810143879978577,3.62094127028752,3.1465206815096822
943373221.6299773,2.583452040217576,2.3186698059316533,3.0434002163557197,2.6262852534879353
1156887528.3162832,2.1689097027258475,1.933564824696473,2.5585962850853585,2.192500921166533
1418726674.116599,1.8213351299935496,1.6127383900002386,2.1515383870821023,1.830730956471701
1739828052.9303622,1.529841354267118,1.345412646851252,1.8096739369773263,1.528960314940353
2133604526.501411,1.2853212120978448,1.1226240784825499,1.5224900159794292,1.2771878338706815
2616504698.7488236,1.0801552082793222,0.936917263459819,1.281180046335592,1.0670873000318792
3208699997.370444,0.9079675806250371,0.7820905012120856,1.07836515217477,0.891725707780479
3934927263.095845,0.763421698699577,0.6529837454184436,0.9078612770219826,0.7453291003537842
4825522042.741279,0.6420496728072213,0.5453028797474624,0.7644845554990046,0.6230879709760092
5917685748.18883,0.54010848343913,0.45547242615854516,0.643888743872807,0.5209956158765783
7257039612.324202,0.45446868041232036,0.38052068030530073,0.5424286814727043,0.4357132307276808
8899530352.885223,0.38250448021212446,0.31796989089966055,0.457046317800363,0.36445792795569176
10913767146.51274,0.32201360665476925,0.26575512054317596,0.3851761284842191,0.3049102344854869
13383887531.73759,0.2713094402399331,0.2222869481539689,0.3246493080932897,0.25512347027692905
16413071953.751266,0.22852324522578651,0.1858669699045187,0.2736597445881516,0.21348635703908028
20127853758.499386,0.19242076828733065,0.1553587924678658,0.23071787197104585,0.17867680339041409
