M_h_inv_Msun,M_Msun,R_Mpc,sigma,dlnsigma_dlnM,window_type
102957556731.25127,151832409277.76324,0.9714248194305884,2.902797962675673,-0.12310674167489166,Top-hat
126260010987.48578,186196742349.9274,1.0397886207094793,2.8302746242064294,-0.12493382786918561,Top-hat
154836525658.5496,228338778437.6192,1.1129635089935774,2.7585231791564575,-0.12680388513371454,Top-hat
189880782446.52612,280018850385.67487,1.191288063439379,2.6875527862524087,-0.12871819220331204,Top-hat
232856629849.81964,343395708376.07965,1.2751246906347,2.6173742092495127,-0.1306775037384118,Top-hat
285559230199.01117,421116693996.4772,1.3648613014487565,2.547997305232174,-0.132684040176827,Top-hat
350190046143.172,516428323467.2939,1.4609131058901792,2.479431939144752,-0.13473890692570611,Top-hat
429448798878.92725,633311899246.3165,1.5637245342777548,2.41168833840567,-0.1368429948832781,Top-hat
526646239348.4281,776649814700.5281,1.6737712936131324,2.344776938268012,-0.13899913173377643,Top-hat
645842443019.6991,952429498628.077,1.7915625686702716,2.2787066820624355,-0.1412068926950827,Top-hat
792016405019.254,1167993518683.4597,1.9176433779860795,2.2134898135755225,-0.14346751839433036,Top-hat
971274019847.1168,1432346290882.048,2.052597095653357,2.149135521408984,-0.14578534813315414,Top-hat
1191103133283.008,1756530206876.5786,2.197048150584326,2.0856534566739864,-0.14815945512690165,Top-hat
1460686320364.9858,2154086890377.5044,2.3516649157342417,2.023055030031197,-0.15059165582789324,Top-hat
1791284454622.0022,2641622850054.5674,2.517162800653459,1.961349642708205,-0.15310282793942243,Top-hat
2196707090793.235,3239503157046.505,2.694307561677125,1.900533589681667,-0.15565678612756484,Top-hat
2693889309590.164,3972702122976.204,2.883918845068743,1.8406460101283544,-0.1582555524749456,Top-hat
3303599120128.346,4871846512503.091,3.0868739795116706,1.7816822848946279,-0.16093710450519216,Top-hat
4051304969235.378,5974494866885.972,3.3041120354962894,1.7236527406149438,-0.16368518979336222,Top-hat
4968239594734.388,7326706377723.621,3.536638170385723,1.6665669303472375,-0.16650332588677696,Top-hat
6092704661368.687,8984964844961.932,3.785528279264463,1.610433721076796,-0.1693899407113295,Top-hat
7471670675868.066,11018538085633.484,4.0519339730894846,1.5552646086401072,-0.17234703452396594,Top-hat
9162739011886.73,13512371349191.46,4.337087907177606,1.501067919047279,-0.17537951758430248,Top-hat
11236548001387.516,16570635601515.285,4.6423094846839,1.4478526817191846,-0.1784860644705465,Top-hat
13779723598335.54,20321078894463.26,4.969010961461137,1.3956287311096873,-0.1816583385792021,Top-hat
16898497868124.621,24920362583873.5,5.3187039805473555,1.3444100734257154,-0.18492132544841278,Top-hat
20723146452190.297,30560605297434.44,5.693006566516396,1.2941929617939039,-0.18827387208564317,Top-hat
25413430367026.39,37477408003283.27,6.093650612054454,1.2449925937958068,-0.19170016101749227,Top-hat
31165269449294.367,45959695397868.11,6.522489891402564,1.196814530290757,-0.19520787299685755,Top-hat
38218926206331.15,56361784701859.82,6.981508637743409,1.1496693879585187,-0.19879963508039913,Top-hat
46869041923141.92,69118185994900.336,7.472830724219762,1.1035614932380162,-0.20247750604974768,Top-hat
57476944248353.586,84761752320238.28,7.998729491064943,1.0585000380169682,-0.20624397652319829,Top-hat
70485740364518.89,103945937714966.66,8.56163826431544,1.0144881364353089,-0.21010568605722948,Top-hat
86438826205982.61,127472092915473.53,9.164161614775532,0.9715316623998181,-0.2140556941864432,Top-hat
106002584880688.25,156322938918578.75,9.80908740932892,0.9296362544208926,-0.21809708492963334,Top-hat
129994222441324.22,191703616636667.47,10.499399710358752,0.8888057234800314,-0.22223243036032458,Top-hat
159415903745600.28,235092027349358.9,11.238292582961451,0.8490437900369802,-0.22646311323153417,Top-hat
195496614309125.94,288300566744028.8,12.029184873839851,0.8103528035598718,-0.23079128480809974,Top-hat
239743496780107.84,353551831263984.44,12.87573603025797,0.7727346175076572,-0.235216300751676,Top-hat
294004806433471.4,433571459126192.8,13.781863032250746,0.7361905486250033,-0.23973388131552043,Top-hat
360547115425049.9,531701984110086.8,14.751758516434414,0.7007222102585697,-0.24436218729990322,Top-hat
442149990737448.7,652042457952291.2,15.789910175275953,0.6663241380339394,-0.24908534634154356,Top-hat
542222100650159.2,799619673573454.0,16.901121521581516,0.6330006795758558,-0.25389552082750355,Top-hat
664943599666503.2,980598141375170.6,18.0905341142812,0.6007467129966356,-0.2588195553786423,Top-hat
815440739518518.6,1202537589615865.8,19.363651348348444,0.5695572961259772,-0.2638389454409582,Top-hat
1000000000000000.0,1474708745022858.0,20.72636391892919,0.5394300480195814,-0.26636864728372095,Top-hat
