M_h_inv_Msun,hmf_press_schechter_z0,hmf_sheth_tormen_z0,cumulative_press_schechter_z0,cumulative_sheth_tormen_z0
100000000.0,15.405173108116092,14.029456555522792,17.73532385692963,15.571108487674117
122633068.41775644,12.823881249194496,11.603891009817476,14.855585893212965,12.956167045190485
150388694.6955407,10.737677993109044,9.653560815797702,12.451994339079024,10.78762500834936
184426270.8585533,8.99254156053536,8.032225931049203,10.439250250597706,8.983440182728291
226167594.92228645,7.532397433226111,6.684156057896508,8.753487292827435,7.482174027450627
277356261.41984177,6.310496730332156,5.563148484617902,7.3413284813443695,6.232786520598326
340130493.8279246,5.287827436651741,4.630867385036516,6.158145580621176,5.192861692405454
417112461.20565164,4.431752359847761,3.855431767360622,5.166619524626849,4.327146619867569
511517809.92931455,3.714978893298986,3.2103417996969696,4.3355448817099465,3.606343998336891
627289985.8196256,3.114759935950858,2.673635521362846,3.6388209341092197,3.006100268786807
769264957.487913,2.61203605464919,2.227025790749675,3.054611785058495,2.506167814473016
943373221.6299773,2.190886124432444,1.8553275769650528,2.5646500186879457,2.08971362420822
1156887528.3162832,1.8380071560354443,1.545928900278258,2.153649466396271,1.7427403505775296
1418726674.116599,1.5422736843179334,1.2883465506576977,1.8088159859410908,1.4536066618474692
1739828052.9303622,1.2943812604437956,1.0738669420826132,1.5194395572801251,1.2126295541008114
2133604526.501411,1.0865481241889077,0.8952473301103177,1.2765531803200796,1.0117537807661732
2616504698.7488236,0.9122648587149434,0.7464667002780503,1.072647744580699,0.8442771746059172
3208699997.370444,0.7660850551478686,0.6225187128076923,0.9014337923818511,0.7046225047775484
3934927263.095845,0.6434511369488753,0.5192403161347954,0.7576424052444914,0.5881479399747619
4825522042.741279,0.5405489376230964,0.4331694608648119,0.6368586935185854,0.4909895103254719
5917685748.18883,0.4541859506177477,0.3614267108143226,0.5353825411387675,0.4099301615975633
7257039612.324202,0.38168877209975477,0.3016162490132795,0.45011223270219325,0.34229098534948976
8899530352.885223,0.32081611634901563,0.2517426681618836,0.3784474163269827,0.28584103625872936
10913767146.51274,0.26969622920801956,0.2101497900589904,0.3182073247525521,0.23872187915708182
13383887531.73759,0.22675792925614038,0.17545664276369996,0.26756241581304996,0.19938490847441753
16413071953.751266,0.19068182830085065,0.14651147813218568,0.22497802378256623,0.16653988968227076
20127853758.499386,0.1603669870287048,0.12235908256857131,0.1891663884430892,0.13911152629555182
24683404670.686512,0.13488795309882687,0.10220202100340697,0.15904646840262388,0.1162033152394892
30270016537.634556,0.11346889335657812,0.08537623013745711,0.13371077595491132,0.09706784565766687
37121050090.663574,0.09545965534646027,0.07132887860083555,0.11239729283964883,0.08108184609034015
45522682755.0731,0.08031436547623089,0.05959897536700051,0.09446601131703065,0.06772546840914848
55825862688.62701,0.06757577837648947,0.049802905873089054,0.07937925508632071,0.05656502545837269
68460968385.74672,0.05685924917086055,0.04162023864182357,0.06668523181835982,0.04723865211658315
83955786199.95103,0.04784206457192471,0.03478396400839383,0.05600430909882074,0.039444410050435155
102957556731.25127,0.040254132595635074,0.029072058395347548,0.047017328513805315,0.032930248803642384
126260010987.48578,0.03386780428010974,0.024298747127631727,0.039455907827744885,0.02748571875055332
154836525658.5496,0.028492012934224688,0.02030918149773555,0.03309437935535944,0.022935118368434468
189880782446.52612,0.023966345232115657,0.016974246315832997,0.027742931034996664,0.019131714218467964
232856629849.81964,0.02015589707445144,0.014186128765027145,0.02324187709935105,0.01595294266104365
285559230199.01117,0.01694750671398517,0.011855004181579436,0.019456837787717188,0.013296401700963103
350190046143.172,0.014245844912828612,0.009905751876170104,0.01627470218521738,0.011076515956811308
429448798878.92725,0.011970743695539078,0.008275646466269096,0.013600262420461138,0.009221772174839125
526646239348.4281,0.010054935945870258,0.006912416256238028,0.011353350956932021,0.007672388328547201
645842443019.6991,0.008441580215323636,0.005772225879930029,0.00946646097784579,0.006378386586465325
792016405019.254,0.007082989540696714,0.004818553456302022,0.007882748950836259,0.0052979866221642
971274019847.1168,0.005939160723429185,0.004020969066082958,0.0065543169031252865,0.004396238080869254
1191103133283.008,0.004976172014896488,0.003353873806379719,0.005440808187059636,0.0036439062908113847
1460686320364.9858,0.00416558857737722,0.002795955589518675,0.004508227353867065,0.003016542123468576
1791284454622.0022,0.003483892857087112,0.0023296824296468056,0.003727878787785256,0.0024936590610312487
2196707090793.235,0.0029099673572017676,0.0019395188072109468,0.003075620240236099,0.0020581439098359073
2693889309590.164,0.002427032168716667,0.0016131510975842674,0.0025311755006926125,0.0016957244583057228
