k_Mpc^-1,P_Mpc^3,Delta2,lambda_Mpc,source
0.00013050141758802708,2606.2640246175292,2.93450163685058e-10,48146.49084513884,CLASS
0.00013209016022353622,2636.8171747607357,3.0786596424288847e-10,47567.398635496764,CLASS
0.00013369824443562392,2667.7270693439236,3.2298977097943184e-10,46995.271581183384,CLASS
0.00013532590569136703,2698.9978266909256,3.3885634404484205e-10,46430.025907304276,CLASS
0.00013697338232445224,2730.6336117532924,3.555021493763949e-10,45871.57884658532,CLASS
0.00013864091557007363,2762.638636622988,3.729654423586284e-10,45319.84862725362,CLASS
0.00014032874960025668,2795.017161050509,3.9128635558378566e-10,44774.75446106372,CLASS
0.00014203713155961153,2827.7734923439,4.1050699082267935e-10,44236.216531468024,CLASS
0.0001437663116015214,2860.9119774677715,4.3067151431214405e-10,43704.1559819296,CLASS
0.00014551654292477246,2894.4370053665334,4.5182625808694684e-10,43178.49490437522,CLASS
0.00014728808181062818,2928.353013820021,4.740198270427218e-10,42659.1563277878,CLASS
0.00014908118766035632,2962.6644901240006,4.973032103709192e-10,42146.06420693555,CLASS
0.00015089612303321225,2997.3759716183317,5.217298984277967e-10,41639.14341123699,CLASS
0.00015273315368488462,3032.492046220367,5.473560053264124e-10,41138.319713759745,CLASS
0.00015459254860640913,3068.0173529635967,5.742403975315474e-10,40643.519780351795,CLASS
0.00015647458006355676,3103.9565825417526,6.024448287512053e-10,40154.67115890316,CLASS
0.00015837952363669978,3140.314477858182,6.320340814325789e-10,39671.702268737245,CLASS
0.00016030765826116492,3177.0958345807426,6.630761151855499e-10,39194.542390129274,CLASS
0.0001622592662680768,3214.3055017021097,6.956422224724319e-10,38723.12165395112,CLASS
0.000164234633425699,3251.948382105743,7.298071919193346e-10,38257.3710314405,CLASS
0.00016623404898127796,3290.029433137283,7.656494796217397e-10,37797.222324093345,CLASS
0.0001682578057033973,3328.553667181707,8.032513888352372e-10,37342.608153677604,CLASS
0.00017030619992484621,3367.5261522460564,8.426992584612815e-10,36893.46195236738,CLASS
0.00017237953158601106,3406.952012548008,8.840836607580241e-10,36449.717952995525,CLASS
0.00017447810427879474,3446.836429110161,9.274996087271102e-10,36011.31117942354,CLASS
0.0001766022252910706,3487.184640360115,9.73046773649417e-10,35578.177437027334,CLASS
0.00017875220565167826,3528.0019417836475,1.0208297129901248e-09,35150.25330329732,CLASS
0.0001809283601759658,3569.293672016076,1.070958105336917e-09,34727.47611855177,CLASS
0.00018313100751188785,3611.06521560801,1.123547001263293e-09,34309.783976761646,CLASS
0.00018536047018666402,3653.322015236552,1.1787170895734247e-09,33897.1157164859,CLASS
0.00018761707465400564,3696.0695726387294,1.2365949733944936e-09,33489.410911915846,CLASS
0.00018990115134191797,3739.3134492064432,1.297313459663939e-09,33086.60986402699,CLASS
0.00019221303470108283,3783.0592665865274,1.3610118627657624e-09,32688.653591837756,CLASS
0.0001945530632538319,3827.312707286319,1.4278363230064579e-09,32295.48382377286,CLASS
0.0001969215796437154,3872.0795152843834,1.497940140654403e-09,31907.042989130874,CLASS
0.0001993189306856742,3917.365496646685,1.5714841263020707e-09,31523.274209654297,CLASS
0.00020174546741682373,3963.176520148145,1.648636968347297e-09,31144.121291200943,CLASS
0.00020420154514785396,4009.518517899611,1.7295756184285114e-09,30769.52871551579,CLASS
0.00020668752351505763,4056.3974859803407,1.8144856956897063e-09,30399.44163210143,CLASS
0.0002092037665329902,4103.819485075898,1.9035619107932654e-09,30033.80585018657,CLASS
0.00021175064264777167,4151.790641121719,1.997008510643735e-09,29672.56783079098,CLASS
0.00021432852479103673,4200.317145952135,2.0950397448322215e-09,29315.674678886004,CLASS
0.000216937790434543,4249.40525795508,2.1978803548604893e-09,28963.074135649145,CLASS
0.00021957882164544174,4299.061302732408,2.305766087255079e-09,28614.71457081216,CLASS
0.0002222520051422238,4349.291673765888,2.4189442317360626e-09,28270.544975100864,CLASS
0.0002249577323513453,4400.102831738764,2.5376741848828054e-09,27930.51495276602,CLASS
0.00022769639946454325,4451.50128187782,2.6622280280349244e-09,27594.574714204035,CLASS
0.0002304684074968484,4503.4935765062,2.792891146611862e-09,27262.67506866644,CLASS
0.00023327416234530558,4556.086335564905,2.929962891245014e-09,26934.767417056933,CLASS
0.00023611407484840682,4609.286247933191,3.0737572604082287e-09,26610.803744815308,CLASS
0.00023898856084624999,4663.1000720619795,3.224603615923319e-09,26290.736614886715,CLASS
0.00024189804124142883,4717.534636611718,3.3828474333424417e-09,25974.519160775628,CLASS
0.0002448429420606644,4772.596841094624,3.5488510889031704e-09,25662.105079683326,CLASS
0.0002478236945171876,4828.293656521518,3.7229946848345087e-09,25353.44862572784,CLASS
0.0002508407350738795,4884.632126052897,3.905676914877689e-09,25048.504603245623,CLASS
0.0002538945055071816,4941.619365654642,4.097315971976831e-09,24747.228360173638,CLASS
0.00025698545297178437,4999.262564758134,4.298350500188523e-09,24449.575781511052,CLASS
0.00026011403006610194,5057.568986924832,4.5092405929589665e-09,24155.503282859678,CLASS
0.0002632806948985462,5116.545970515316,4.7304688400215695e-09,23864.96780404191,CLASS
0.0002664859111546045,5176.200929362818,4.962541425276555e-09,23577.92680279571,CLASS
0.000269730148164737,5236.541353451307,5.2059892781292275e-09,23294.33824854516,CLASS
0.00027301388097309873,5297.574809597911,5.461369280882576e-09,23014.16061624609,CLASS
0.00027633759040709944,5359.308942139969,5.72926553490649e-09,22737.352880305654,CLASS
0.00027970176314780893,5421.751473626552,6.0102906884368775e-09,22463.87450857514,CLASS
0.000283106891801222,5484.9102037621615,6.305087326982363e-09,22193.685456414827,CLASS
0.0002865534749703871,5548.79297557785,6.61432939197091e-09,21926.746160830542,CLASS
0.00029004201732841687,5613.407676424411,6.938723704309965e-09,21663.017534680454,CLASS
0.0002935730296923854,5678.762269932417,7.2790116013181336e-09,21402.460960951677,CLASS
0.0002971470290981258,5744.8647978952795,7.63597061970817e-09,21145.038287105715,CLASS
0.000300764538875938,5811.723380886396,8.010416258842033e-09,20890.71181949189,CLASS
0.0003044260887272194,5879.346218878605,8.403203829617382e-09,20639.444317827918,CLASS
