M_h_hinv_Msun,M_Msun,R_Mpc,sigma,dlnsigma_dlnM
1791284454622.0022,3256880826585.4585,2.7405482920568947,2.728308678932934,-0.1686356201125947
2196707090793.235,3994012892351.3364,2.933413756358292,2.6353179135491622,-0.1713347408403374
2693889309590.164,4897980562891.207,3.1398520839542323,2.544077786201309,-0.17410187602696414
3303599120128.346,6006543854778.811,3.360818462019787,2.454593145633801,-0.17693877922896029
4051304969235.378,7366009034973.414,3.5973352988107385,2.36686859135768,-0.17984726755804603
4968239594734.388,9033162899517.068,3.8504969543319447,2.280908425516736,-0.1828291333570129
6092704661368.687,11077644838852.156,4.1214748039253095,2.1967166762760715,-0.185886142564474
7471670675868.066,13584855774305.574,4.411522658206669,2.1142970381945876,-0.18902007142826505
9162739011886.73,16659525476157.69,4.721982564429515,2.0336528473808215,-0.1922326851076237
11236548001387.516,20430087275250.027,5.054291016118311,1.954787033591121,-0.195525801453573
13779723598335.54,25054042906064.613,5.409985599703405,1.8777020356118355,-0.19890121444534792
16898497868124.621,30724541578408.4,5.790712108911378,1.8023998108453667,-0.20236063295297346
20723146452190.297,37678448094891.445,6.198232159828877,1.7288817864943173,-0.20590574884608448
25413430367026.39,46206237030957.07,6.6344313418750485,1.6571488003082742,-0.20953820038683957
31165269449294.367,56664126271444.3,7.101327942396587,1.5872010683375337,-0.21325962830787892
38218926206331.15,69488956738783.9,7.60108228525432,1.5190380804508092,-0.21707163757158776
46869041923141.92,85216439860258.03,8.136006726610693,1.4526585870197377,-0.22097564506242684
57476944248353.586,104503534997006.52,8.70857635416845,1.388060578788895,-0.2249729759946566
70485740364518.89,128155891571852.52,9.321440439365881,1.3252411937261308,-0.22906486322327124
86438826205982.61,157161502192695.66,9.977434695517745,1.2641966848045063,-0.23325249560083738
106002584880688.25,192731972510342.25,10.67959439861994,1.2049222988530899,-0.23753707455924272
129994222441324.22,236353131711498.56,11.431168431527963,1.1474122160663012,-0.24191955479601399
159415903745600.28,289847097719273.2,12.235634316491243,1.0916595587368183,-0.24640068602113827
195496614309125.94,355448389652956.25,13.096714305598457,1.037656294746432,-0.25098103791866616
239743496780107.84,435897266872923.3,14.018392603584662,0.9853932195416027,-0.2556609887897408
294004806433471.4,534554193515402.44,15.004933802689171,0.9348598630054535,-0.26044092884724757
360547115425049.9,655540209863727.0,16.06090261486263,0.8860443915196239,-0.2653209641627865
442149990737448.7,803909074068088.5,17.191184992623665,0.8389336399163386,-0.27030081482330887
542222100650159.2,985858364818471.1,18.40101073629085,0.7935130449048658,-0.2753799358215068
664943599666503.2,1208988363030005.8,19.695977692193694,0.7497666202696287,-0.28055750994713036
815440739518518.6,1482619526397306.5,21.082077653827252,0.7076768979133697,-0.2858329003197515
1000000000000000.0,1818181818181818.0,22.565724085794237,0.6672247843038956,-0.29115710541852957
