k_Mpc^-1,P_Mpc^3,Delta2
0.0001,5220.023117328627,2.6444946044405126e-10
0.00010121741408244667,5202.221925843553,2.7329069633507916e-10
0.00010244964913537472,5185.821524733743,2.8250051971340776e-10
0.00010369688559136586,5170.798422026496,2.9209559381162997e-10
0.00010495930607961376,5157.130286515641,3.02093384323687e-10
0.00010623709545266527,5144.794708090011,3.1251212661723477e-10
0.00010753044081348831,5133.7692842134065,3.2337086225459966e-10
0.0001088395315428687,5124.032689886944,3.346895420479796e-10
0.00011016455932714056,5115.5646762935085,3.4648907328131786e-10
0.00011150571818625436,5108.346029386651,3.5879136679720626e-10
0.00011286320450218712,5102.358530318184,3.716193864322665e-10
0.00011423721704769732,5097.584917604729,3.8499720091726906e-10
0.00011562795701543115,5094.008850939196,3.989500383639374e-10
0.00011703562804738238,5091.614876557569,4.1350434346616973e-10
0.00011846043626471099,5090.388394076412,4.2868783754961205e-10
0.00011990259029792533,5090.315624720277,4.445295816098684e-10
0.0001213623013174306,5091.383580862728,4.610600424863536e-10
0.00012283978306445035,5093.5800368080645,4.783111623257857e-10
0.0001243352518823239,5096.893500744779,4.963164314966097e-10
0.00012584892674818486,5101.313187804746,5.151109651232547e-10
0.0001273810293050251,5106.828994165685,5.347315834171095e-10
0.00012893178389415,5113.431472137308,5.552168959894089e-10
0.00013050141758802708,5121.111806173939,5.766073903398029e-10
0.00013209016022353622,5129.861764868979,5.989455218173858e-10
0.00013369824443562392,5139.673150161771,6.222757465545926e-10
0.00013532590569136703,5150.537781034176,6.466446119691283e-10
0.00013697338232445224,5162.447986940235,6.721009173481561e-10
0.00013864091557007363,5175.396608018079,6.986958264111993e-10
0.00014032874960025668,5189.376973326685,7.264829826233475e-10
0.00014203713155961153,5204.382879699921,7.555186300525877e-10
0.0001437663116015214,5220.408571174968,7.858617400266893e-10
0.00014551654292477246,5237.448718953769,8.175741438558226e-10
0.00014728808181062818,5255.498401858669,8.507206718982891e-10
0.00014908118766035632,5274.553087244051,8.853692992582239e-10
0.00015089612303321225,5294.6086123284695,9.215912984161375e-10
0.00015273315368488462,5315.661165912335,9.594613991053756e-10
0.00015459254860640913,5337.707270448365,9.990579557604182e-10
0.00015647458006355676,5360.743764432877,1.040463122875983e-09
0.00015837952363669978,5384.767785087673,1.0837630386294474e-09
0.00016030765826116492,5409.77675130312,1.129048017133087e-09
0.0001622592662680768,5435.768346814741,1.176412749696978e-09
0.000164234633425699,5462.740503586151,1.2259565154981553e-09
0.00016623404898127796,5490.691423274303,1.2777834108872246e-09
0.0001682578057033973,5519.620492419821,1.3320028065323733e-09
0.00017030619992484621,5549.5283470985,1.3887296524157954e-09
0.00017237953158601106,5580.415902730652,1.4480845347007627e-09
0.00017447810427879474,5612.284293362597,1.5101939396361041e-09
0.0001766022252910706,5645.134859463685,1.5751905414591823e-09
0.00017875220565167826,5678.969135774345,1.6432135040213125e-09
0.0001809283601759658,5713.788839187509,1.7144087967564458e-09
0.00018313100751188785,5749.595856646741,1.7889295256396002e-09
0.00018536047018666402,5786.392233044788,1.86693627980757e-09
0.00018761707465400564,5824.180159106813,1.9485974945416425e-09
0.00018990115134191797,5862.961959242789,2.034089831339893e-09
0.00019221303470108283,5902.740079354613,2.1235985758355276e-09
0.0001945530632538319,5943.517074583315,2.2173180543473893e-09
0.0001969215796437154,5985.295596982642,2.3154520698792732e-09
0.0001993189306856742,6028.07838310573,2.4182143584162213e-09
0.00020174546741682373,6071.868241491548,2.5258290663981507e-09
0.00020420154514785396,6116.668040039153,2.638531250284528e-09
0.00020668752351505763,6162.480693257215,2.756567399157833e-09
0.0002092037665329902,6209.309198085775,2.8801960039418635e-09
0.00021175064264777167,6257.158015694838,3.009688804156375e-09
0.00021432852479103673,6306.0333151797795,3.1453316424617145e-09
0.000216937790434543,6355.941451693406,3.287424475970766e-09
0.00021957882164544174,6406.888870508131,3.4362820258088253e-09
0.0002222520051422238,6458.88209867113,3.5922344988456226e-09
0.0002249577323513453,6511.927736512522,3.755628343858499e-09
0.00022769639946454325,6566.032448998064,3.926827043692453e-09
0.0002304684074968484,6621.202956917729,4.106211945047802e-09
0.00023327416234530558,6677.4460279027335,4.2941831275944465e-09
0.00023611407484840682,6734.768467262294,4.491160314180584e-09
0.00023898856084624999,6793.177108632793,4.6975838239771045e-09
0.00024189804124142883,6852.678804431741,4.913915570473012e-09
0.0002448429420606644,6913.280416108676,5.140640106314358e-09
0.0002478236945171876,6974.988804186456,5.378265717059675e-09
0.0002508407350738795,7037.8108180851605,5.627325566005993e-09
0.0002538945055071816,7101.7532857224,5.888378892325824e-09
0.00025698545297178437,7166.82300288309,6.162012264842007e-09
0.00026011403006610194,7233.026722352387,6.4488408938578995e-09
0.0002632806948985462,7300.37118831013,6.7495100456244265e-09
0.0002664859111546045,7368.864656077854,7.064697953590476e-09
0.000269730148164737,7438.517315163818,7.39511803194271e-09
0.00027301388097309873,7509.33952473575,7.741519029765616e-09
0.00027633759040709944,7581.341691301829,8.104686654429268e-09
0.00027970176314780893,7654.534262248136,8.485445381349821e-09
0.000283106891801222,7728.927719184344,8.884660350495142e-09
0.0002865534749703871,7804.532571091935,9.303239353634708e-09
